Gene,Guides,Clusters,Consistency
dnaB,"['1', '3', '2']","[np.int32(0), np.int32(0), np.int32(1)]",Different
dnaE,"['3', '2', '1']","[np.int32(1), np.int32(0), np.int32(1)]",Different
folA,"['1', '3', '2']","[np.int32(1), np.int32(3), np.int32(2)]",Different
folP,"['1', '2', '3']","[np.int32(1), np.int32(0), np.int32(1)]",Different
ftsI,"['1', '2', '3']","[np.int32(4), np.int32(4), np.int32(4)]",Same
ftsZ,"['1', '2', '3']","[np.int32(4), np.int32(4), np.int32(4)]",Same
gyrA,"['3', '2', '1']","[np.int32(1), np.int32(0), np.int32(1)]",Different
gyrB,"['2', '3', '1']","[np.int32(1), np.int32(0), np.int32(0)]",Different
lptA,"['2', '3', '1']","[np.int32(3), np.int32(1), np.int32(3)]",Different
lptC,"['3', '2', '1']","[np.int32(3), np.int32(3), np.int32(2)]",Different
lpxA,"['2', '1', '3']","[np.int32(0), np.int32(2), np.int32(2)]",Different
lpxC,"['1', '3', '2']","[np.int32(3), np.int32(3), np.int32(4)]",Different
mrcA,"['2', '3', '1']","[np.int32(1), np.int32(1), np.int32(0)]",Different
mrcB,"['3', '2', '1']","[np.int32(1), np.int32(0), np.int32(0)]",Different
mrdA,"['2', '3', '1']","[np.int32(0), np.int32(0), np.int32(0)]",Same
msbA,"['1', '2', '3']","[np.int32(1), np.int32(1), np.int32(1)]",Same
murA,"['1', '2', '3']","[np.int32(0), np.int32(1), np.int32(1)]",Different
murC,"['1', '3', '2']","[np.int32(4), np.int32(4), np.int32(3)]",Different
parC,"['3', '1', '2']","[np.int32(2), np.int32(1), np.int32(2)]",Different
parE,"['1', '3', '2']","[np.int32(1), np.int32(0), np.int32(1)]",Different
rplA,"['1', '2', '3']","[np.int32(3), np.int32(4), np.int32(2)]",Different
rplC,"['1', '3', '2']","[np.int32(2), np.int32(0), np.int32(0)]",Different
rpoA,"['1', '3', '2']","[np.int32(4), np.int32(4), np.int32(4)]",Same
rpoB,"['1', '3', '2']","[np.int32(2), np.int32(2), np.int32(2)]",Same
rpsA,"['1', '2', '3']","[np.int32(1), np.int32(0), np.int32(2)]",Different
rpsL,"['3', '1', '2']","[np.int32(2), np.int32(1), np.int32(1)]",Different
secA,"['2', '3', '1']","[np.int32(0), np.int32(1), np.int32(1)]",Different
secY,"['1', '2', '3']","[np.int32(3), np.int32(0), np.int32(0)]",Different
