Class,Cluster
WT,0
dnaE_1,0
lptA_3,0
mrdA_2,0
msbA_1,0
parC_1,0
murA_2,0
murA_3,0
msbA_3,0
murA_1,0
mrcB_1,0
mrcA_1,0
mrdA_3,0
mrdA_1,0
rpsL_2,0
rpsL_1,0
rpsA_2,0
secA_1,0
secA_2,0
rplC_1,1
rpoB_2,1
rpoB_1,1
rpoA_2,1
rpoB_3,1
rplA_3,1
rplA_2,2
lptC_1,2
murC_1,2
ftsI_3,2
secY_1,2
murC_3,2
ftsI_1,2
rpoA_3,2
ftsZ_3,3
ftsI_2,3
rpoA_1,3
ftsZ_2,3
lpxC_2,3
ftsZ_1,3
mrcB_2,4
lpxA_2,4
parE_3,4
gyrB_3,4
gyrB_1,4
folP_2,4
dnaE_2,4
dnaB_3,4
secY_3,4
rplC_3,4
rplC_2,4
secY_2,4
gyrA_2,4
dnaB_1,4
lpxC_1,5
rplA_1,5
lpxC_3,5
lptC_2,5
lptC_3,5
lptA_1,5
folA_3,5
lptA_2,5
murC_2,5
dnaB_2,6
dnaE_3,6
gyrB_2,6
secA_3,6
rpsA_1,6
folA_1,6
gyrA_1,6
mrcA_3,6
mrcB_3,6
parE_2,6
mrcA_2,6
folP_3,6
folP_1,6
parE_1,6
msbA_2,6
gyrA_3,6
folA_2,7
lpxA_1,7
parC_3,7
parC_2,7
lpxA_3,7
rpsA_3,7
rpsL_3,7
