Gene,Guides,Clusters,All_Same_Cluster
dnaB,"['1', '2', '3']","[4, 6, 4]",False
dnaE,"['1', '2', '3']","[0, 4, 6]",False
folA,"['1', '2', '3']","[6, 7, 5]",False
folP,"['1', '2', '3']","[6, 4, 6]",False
ftsI,"['1', '2', '3']","[2, 3, 2]",False
ftsZ,"['1', '2', '3']","[3, 3, 3]",True
gyrA,"['1', '2', '3']","[6, 4, 6]",False
gyrB,"['1', '2', '3']","[4, 6, 4]",False
lptA,"['1', '2', '3']","[5, 5, 0]",False
lptC,"['1', '2', '3']","[2, 5, 5]",False
lpxA,"['1', '2', '3']","[7, 4, 7]",False
lpxC,"['1', '2', '3']","[5, 3, 5]",False
mrcA,"['1', '2', '3']","[0, 6, 6]",False
mrcB,"['1', '2', '3']","[0, 4, 6]",False
mrdA,"['1', '2', '3']","[0, 0, 0]",True
msbA,"['1', '2', '3']","[0, 6, 0]",False
murA,"['1', '2', '3']","[0, 0, 0]",True
murC,"['1', '2', '3']","[2, 5, 2]",False
parC,"['1', '2', '3']","[0, 7, 7]",False
parE,"['1', '2', '3']","[6, 6, 4]",False
rplA,"['1', '2', '3']","[5, 2, 1]",False
rplC,"['1', '2', '3']","[1, 4, 4]",False
rpoA,"['1', '2', '3']","[3, 1, 2]",False
rpoB,"['1', '2', '3']","[1, 1, 1]",True
rpsA,"['1', '2', '3']","[6, 0, 7]",False
rpsL,"['1', '2', '3']","[0, 0, 7]",False
secA,"['1', '2', '3']","[0, 0, 6]",False
secY,"['1', '2', '3']","[2, 4, 4]",False
